frame,possession_id,possession_frame_index,offense_team,defense_team,ball_handler_id,ball_handler_jersey,ball_handler_team,handler_zone,offense_spacing_m,defensive_pressure_m,numerical_advantage,is_fast_break,event_type,possession_change,tactical_x,tactical_y,speed_mps,distance_delta_m,predicted_action,predicted_confidence,context_risk_index,receiver_id,receiver_jersey,receiver_team,next_5f_event
38,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
39,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
40,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
41,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
42,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
43,1,1,1,2,21,5,1,COURT_ZONE_UNKNOWN,112.21413943504413,,0,0,NONE,0,,,,,RESET_PLAY,,0.25,-1,,-1,NONE
44,1,2,1,2,21,5,1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,RESET_PLAY,,0.37,-1,,-1,NONE
45,1,3,1,2,21,5,1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,RESET_PLAY,,0.37,-1,,-1,NONE
46,1,4,1,2,21,5,1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,RESET_PLAY,,0.37,-1,,-1,NONE
47,1,5,1,2,21,5,1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,RESET_PLAY,,0.37,-1,,-1,NONE
48,1,6,1,2,21,5,1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,RESET_PLAY,,0.37,-1,,-1,NONE
